"ERP - Products","ERP - Produits"
"Expected PO","Commandes fournisseur"
"Switch to Magento view","Vue Magento"
"Product details","Détails"
"Product details saved.","Modifications enregistrées"
"No barcode attribute configured","Aucun attribut code barre configuré"
